,Fam members,T.Experience,Income,Mortgage,Loan,Education_Post Graduate,Education_Under Graduate,Fixed Deposit_no,Fixed Deposit_yes,Demat_no,Net Banking_no,Net Banking_yes
0,1.0,0.08695652173913043,0.5438963520505302,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,0.6666666666666667,0.4782608695652174,0.43422112071606556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2,0.0,0.391304347826087,0.09556763660288503,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,0.0,0.2608695652173913,0.7579743926273719,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
4,1.0,0.2391304347826087,0.5183403075843529,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
5,1.0,0.34782608695652173,0.3864855212061875,0.2440944881889764,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
6,0.3333333333333333,0.6521739130434782,0.6593894872826493,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7,0.0,0.5869565217391304,0.303581469723043,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
8,0.6666666666666667,0.2826086956521739,0.6947364700273222,0.16377952755905512,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
9,0.0,0.2608695652173913,0.9343707588433348,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
10,1.0,0.9130434782608695,0.7726164486915361,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
11,0.6666666666666667,0.17391304347826086,0.5183403075843529,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
12,0.3333333333333333,0.5652173913043478,0.7972963192843268,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
13,1.0,0.7608695652173912,0.48299337115165697,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
14,0.0,0.9565217391304347,0.7919846292318193,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
15,0.0,0.717391304347826,0.303581469723043,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
16,1.0,0.3695652173913044,0.8367106050990905,0.2110236220472441,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
17,1.0,0.45652173913043476,0.6947364700273222,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
18,0.3333333333333333,0.5217391304347826,0.9552979277286995,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
